number,title,purpose,inputs,outputs,category,platform
1,رصد إشارة مبكرة لتغيّر,إشارات مبكرة مصنفة بقوتها، لا أخبارا منشورة.,الموضوع | ما تعتبره إشارة | الأفق الزمني,إشارات مصنّفة بقوتها، مع ما يؤكدها وما ينفيها وموعد إعادة الرصد.,الرصد اللحظي,GROK
2,متابعة موضوع بلا تكرار,تقريرا يحتوي ما لم تعرفه بعد فقط.,الموضوع | ما تعرفه بالفعل | الفترة,أربعة أقسام خالية من التكرار.,الرصد اللحظي,GROK
3,رصد رد فعل على إعلان,صورة عن ردود الفعل مصنفة، مع فصل الحماس عن النقد الجوهري.,الإعلان | منذ متى | ما يهمك معرفته,خمسة أقسام تفصل النقد الجوهري عن الضجيج.,الرصد اللحظي,GROK
4,تتبع مصير موضوع اختفى,تتبعا لما آل إليه الموضوع، مع سبب اختفائه.,الموضوع | آخر ما تعرفه | متى اختفى,تتبع زمني ينتهي بمصير الموضوع أو بمن تتابعه.,الرصد اللحظي,GROK
5,بناء قائمة مراقبة لمجال,قائمة مؤشرات محددة تراقبها بدل قائمة حسابات تتابعها.,المجال | قرارك المرتبط | وقتك الأسبوعي,خمسة مؤشرات بعتبات تنبيه وجدول يناسب وقتك.,الرصد اللحظي,GROK
6,خريطة مواقف في نقاش مستقطب,خريطة للمواقف بمنطق كل واحد، بلا ترجيح.,الموضوع | المواقف التي رأيتها | ما يهمك,خريطة مواقف بمنطق كل واحد، ونقاط الاتفاق الخفية.,تحليل النقاش,GROK
7,استخراج أسئلة الجمهور الحقيقية,أسئلة حقيقية مرتبة بالتكرار، بصياغة سائليها.,الموضوع | الجمهور | أين يتحدثون,أسئلة حقيقية بصياغة أصحابها، مرتبة بالتكرار.,تحليل النقاش,GROK
8,قياس تحوّل موقف عبر الزمن,مقارنة بين الموقف السائد في فترتين، مع سبب التحوّل.,الموضوع | الفترتان | ما تظنه تغيّر,مقارنة بين فترتين بأمثلة، مع سبب التحوّل.,تحليل النقاش,GROK
9,كشف حملة منظمة أو انتشار مصطنع,مؤشرات على طبيعة الانتشار، بلا اتهام بلا دليل.,الموضوع | ما أثار شكك | الفترة,مؤشرات موصوفة وحكم محافظ، بلا اتهامات.,تحليل النقاش,GROK
10,تلخيص نقاش طويل إلى موقف قابل للنشر,خلاصة تصلح للنشر، مع ما يجب التحفظ عليه.,النقاش | موقفك المبدئي | جمهورك,خلاصة قابلة للنشر مع تحفظات صريحة وصياغة مقترحة.,تحليل النقاش,GROK
11,تتبع ادعاء إلى مصدره الأول,سلسلة نقل من المصدر الأول إلى الصيغة المتداولة.,الادعاء | أين رأيته | ما يهمك,سلسلة نقل تُظهر أين دخل التحريف، إن دخل.,التحقق وتتبع المصادر,GROK
12,فحص اقتباس منسوب إلى شخص,حكما على صحة النسبة، مع الصياغة الأصلية إن وُجدت.,الاقتباس | المنسوب إليه | أين رأيته,حكم من خمسة أقسام مع الصياغة الأصلية وسياقها.,التحقق وتتبع المصادر,GROK
13,التحقق من صورة أو مقطع,فحصا لمصدر المادة وسياقها وتاريخها.,الصورة أو وصفها | ما يُقال إنها تُظهره | أين رأيتها,فحص سياق وتاريخ مع حكم صريح أو إقرار بعدم القدرة على التحقق.,التحقق وتتبع المصادر,GROK
14,مقارنة تغطية حدث بين مصادر,مقارنة تُظهر ما تتفق عليه المصادر وما ينفرد به كل واحد.,الحدث | المصدر الذي قرأته | ما يهمك,صورة أوسع تفصل المتفق عليه عن المنفرد به.,التحقق وتتبع المصادر,GROK
