number,title,purpose,inputs,outputs,category,platform
1,مسح شامل لموضوع جديد,خريطة للموضوع: المفاهيم الأساسية، اللاعبون، الأسئلة المفتوحة، وأين تبدأ.,اسم الموضوع | مستواك الحالي فيه | ما الذي ستفعله بهذه المعرفة,خريطة من خمسة أقسام مع مصادر، تصلح لأن تكون الصفحة الأولى في دفتر بحثك.,البحث والتحقق,CLAUDE
2,التحقق من ادعاء واحد,حكما واضحا على الادعاء مع المصدر الأصلي ودرجة الثقة.,نص الادعاء كما وصلك | أين رأيته | لماذا يهمك التحقق,حكم من خمسة أقسام مع روابط، تستطيع لصقه كرد موثق.,البحث والتحقق,CLAUDE
3,التوفيق بين مصادر متضاربة,تفسيرا لسبب الخلاف، لا مجرد اختيار طرف.,المصدر الأول وما يقوله | المصدر الثاني وما يقوله | الموضوع محل الخلاف,تحليل يحلّل سبب التعارض ويحدد أي الطرفين ينطبق على حالتك.,البحث والتحقق,CLAUDE
4,موجز تنفيذي من بحث موسع,موجزا مبنيا على القرار المطلوب، لا ملخصا لكل ما قرأت.,المادة المجمّعة أو الملفات | من سيقرأ الموجز | القرار المطلوب اتخاذه,صفحة واحدة منظمة بخمسة أقسام، جاهزة للإرسال.,البحث والتحقق,CLAUDE
5,تصميم خطة البحث نفسها,خطة استعلامات ومصادر مرتبة، مع معيار توقف واضح.,سؤال البحث | الوقت المتاح | ما تعرفه مسبقا,خطة من خمسة أقسام تعمل بها بنفسك أو تعطيها لأداة بحث.,البحث والتحقق,CLAUDE
6,شرح مفهوم على ثلاث طبقات,ثلاثة شروح متدرجة تنتهي بمثال ملموس وحدود المفهوم.,اسم المفهوم | مجالك | ما الذي أربكك فيه,شرح ثلاثي مع مثال وحدود، يصلح لأن تعيد شرحه لغيرك.,التعلم والدراسة,CLAUDE
7,اختبرني حتى أتقن,أسئلة متدرجة الصعوبة مع تصحيح يشرح سبب الخطأ.,الموضوع | المستوى | المدة المتاحة,جلسة أسئلة وأجوبة تكشف الفجوات الحقيقية بدل الإحساس الزائف بالفهم.,التعلم والدراسة,CLAUDE
8,اكتشاف الفجوات في فهمي,تشخيصا لما تجهله أنت لا لما هو مهم عموما.,شرحك أنت للموضوع بكلماتك | الموضوع,تشخيص من خمسة أقسام يوجّه مراجعتك إلى الفجوة الحقيقية.,التعلم والدراسة,CLAUDE
9,خطة مذاكرة من منهج,جدولا يوميا مبنيا على وزن كل موضوع وصعوبته، لا على تقسيم متساوٍ.,المنهج أو قائمة المواضيع | المدة حتى الامتحان | الساعات المتاحة يوميا,جدول يومي مع خطة طوارئ، لا قائمة أمنيات.,التعلم والدراسة,CLAUDE
10,ورقة مراجعة مكثفة,صفحة واحدة تحتوي فقط ما يُنسى ويُسأل عنه.,المادة أو الملف | نوع الامتحان | المواضيع التي تنساها,صفحة واحدة كثيفة تحل محل إعادة قراءة المادة كلها.,التعلم والدراسة,CLAUDE
11,قراءة مستند لأجل قرار,خلاصة مرتبطة بقرارك، مع تحديد ما لم يذكره المستند.,المستند | القرار الذي ستتخذه | ما يقلقك فيه,أربعة أقسام مرتبطة بقرارك، مع مواضع داخل المستند.,المستندات والملفات,CLAUDE
12,استخراج الالتزامات والمواعيد,جدولا بكل التزام: من، وماذا، ومتى، وماذا لو تأخر.,المستند | الطرف الذي تمثله,جدول تنفيذي تنقله مباشرة إلى أداة إدارة المهام.,المستندات والملفات,CLAUDE
13,مقارنة عدة مستندات بمصفوفة,مصفوفة مقارنة على معايير تحددها أنت مسبقا.,المستندات | المعايير التي تهمك | الحالة التي ستستخدم فيها,مصفوفة واضحة تفصل الحقائق عن التوصية.,المستندات والملفات,CLAUDE
14,تحويل مستند إلى أسئلة وأجوبة,قائمة أسئلة واقعية بإجابات مستندة إلى النص.,المستند | من سيقرأ الأسئلة | أكثر ما يسألون عنه,صفحة أسئلة جاهزة للنشر، مع قائمة بالثغرات في المستند الأصلي.,المستندات والملفات,CLAUDE
15,مراجعة مستند بحثا عن مخاطر,بنودا تفاوضية: ما يضرك في النص، وبأي صياغة تستبدله.,المستند | موقعك من الاتفاق | ما لا تستطيع تحمله,قائمة مخاطر مرتبة مع بدائل صياغة، تصلح كأجندة تفاوض.,المستندات والملفات,CLAUDE
16,الكتابة بأسلوبك من أمثلة,نصا جديدا يحاكي إيقاعك ومفرداتك دون تقليد الموضوع.,ثلاثة نماذج من كتابتك | النص المطلوب | الجمهور,تحليل مختصر لأسلوبك، ثم نص جديد يتبعه.,الكتابة والتحرير,CLAUDE
17,تحرير نص دون تغيير معناه,نسخة محررة مع بيان بكل تعديل وسببه.,النص | المشكلة التي تشعر بها | ما يجب ألا يتغير,نص محرر، وجدول تغييرات، وملاحظات تحسّن كتابتك القادمة.,الكتابة والتحرير,CLAUDE
18,تقصير نص إلى نصف طوله,نسخة أقصر تحافظ على المعنى، مع بيان ما ضاع.,النص | الطول المستهدف | ما لا يجوز حذفه,نص مختصر مع كشف بما فُقد، فتقرر أنت هل تقبله.,الكتابة والتحرير,CLAUDE
19,تحويل نص تقني إلى لغة عامة,نصا مفهوما دون أن يصبح ساذجا أو غير دقيق.,النص التقني | الجمهور | ما تريدهم أن يفعلوه بعد القراءة,نص مفهوم مع سجل شفاف للمصطلحات المحتفظ بها.,الكتابة والتحرير,CLAUDE
20,مراجعة نقدية قبل النشر,نقدا محددا قابلا للتنفيذ، مرتبا بالأولوية.,النص | أين سيُنشر | ما تخشاه,قائمة نقد مرتبة بإصلاحات، لا رأي عام.,الكتابة والتحرير,CLAUDE
21,تحويل مصدر واحد إلى سلسلة محتوى,خطة إعادة استخدام بزوايا مختلفة، لا نسخا مكررة.,المادة الأصلية | المنصة | جمهورك,خطة سلسلة بزوايا متمايزة وافتتاحيات جاهزة.,صناعة المحتوى,CLAUDE
22,عناوين وافتتاحيات قابلة للاختبار,خيارات مبنية على آليات مختلفة، مع سبب لكل خيار.,موضوع المحتوى | الجمهور | الوعد الحقيقي للمحتوى,ثمانية عناوين مصنفة وثلاث افتتاحيات جاهزة للاختبار.,صناعة المحتوى,CLAUDE
23,سيناريو فيديو قصير,سيناريو بتوقيت ومشاهد ونص منطوق.,الفكرة | المدة | المنصة,جدول سيناريو جاهز للتصوير مباشرة.,صناعة المحتوى,CLAUDE
24,تقويم محتوى شهري,تقويما بموضوع محوري وتوزيع أشكال ومعيار نجاح.,هدف الشهر | المنصة ومعدل النشر | الموارد المتاحة,تقويم شهري بأولويات واضحة ومعيار نجاح واحد.,صناعة المحتوى,CLAUDE
25,تشريح محتوى لم ينجح,تشخيصا يفصل بين مشكلة الفكرة والعرض والتوقيت والجمهور.,نص المنشور | الأرقام التي حصلت عليها | ما توقعته,تشخيص مرتب باحتمالات وأدلة، وتعديل واحد قابل للاختبار.,صناعة المحتوى,CLAUDE
26,مصفوفة قرار بمعايير موزونة,مصفوفة مرجّحة تظهر لماذا فاز خيار، لا مجرد اسم الفائز.,الخيارات | المعايير بترتيب الأهمية | قيودك,مصفوفة مرجّحة مع نقطة الانقلاب التي تغيّر القرار.,التحليل واتخاذ القرار,CLAUDE
27,تحليل ما قبل الوفاة,قائمة أسباب فشل محتملة مع إشارات إنذار مبكر.,الخطة أو القرار | الموعد النهائي | الموارد,قائمة مخاطر مع إشارات إنذار مبكر تراقبها أثناء التنفيذ.,التحليل واتخاذ القرار,CLAUDE
28,تفكيك مشكلة إلى أسبابها الجذرية,شجرة أسباب تفصل العرض عن السبب، مع اختبار لكل فرضية.,وصف المشكلة | ما جربته | متى تظهر ومتى لا تظهر,شجرة أسباب مع خطة اختبارات مرتبة بالتكلفة.,التحليل واتخاذ القرار,CLAUDE
29,محامي الشيطان لقرار اتخذته,أقوى صيغة ممكنة للرأي المضاد، لا نقدا شكليا.,قرارك | أسبابك | ما ستخسره إن كنت مخطئا,الرأي المضاد في أقوى صورة، وحكم صريح على قرارك.,التحليل واتخاذ القرار,CLAUDE
30,ما المعلومة التي تغيّر القرار,تمييزا بين المعلومات التي تغيّر القرار وتلك التي تطمئنك فقط.,القرار | ما تعرفه | ما تفكر في البحث عنه,تصنيف واضح يوفر عليك بحثا لا يغيّر شيئا.,التحليل واتخاذ القرار,CLAUDE
31,من هدف إلى خطة مراحل,خطة مراحل لكل مرحلة مخرج ملموس ومعيار انتقال.,الهدف | المدة | الوقت المتاح أسبوعيا,خطة مراحل بمعايير انتقال ومسار حرج.,التخطيط والمشاريع,CLAUDE
32,تقدير الوقت والمخاطر,تقديرا بثلاثة سيناريوهات مع أسباب التأخير المحتملة.,قائمة المهام | خبرتك في مثلها | الاعتماديات الخارجية,تقدير بثلاثة سيناريوهات مع هامش أمان مبرر.,التخطيط والمشاريع,CLAUDE
33,تحديد نطاق المشروع ومنع تضخمه,وثيقة نطاق تفصل ما هو داخل وخارج المشروع صراحة.,فكرة المشروع | المستخدم | المدة والموارد,وثيقة نطاق تستطيع الرجوع إليها عند كل طلب إضافي.,التخطيط والمشاريع,CLAUDE
