number,title,purpose,inputs,outputs,category,platform
1,مصفوفة مصادر مصنفة بالموثوقية,قائمة مصادر مصنفة إلى أولية وثانوية ودعائية، مع سبب التصنيف.,المجال | لغة المصادر التي تقرؤها | غرضك من المتابعة,جدول مصادر مصنّف، وقائمة بداية من خمسة، وتحذير من مصدر مضلل.,البحث العميق,CHATGPT
2,خط زمني لتطور موضوع,خطا زمنيا بالمحطات التي غيّرت المسار، لا بكل ما حدث.,الموضوع | الفترة الزمنية | ما ستستخدم الخط الزمني فيه,خط زمني بمحطات مؤرخة ومصادر، وفقرة تفسير.,البحث العميق,CHATGPT
3,تقرير فجوة بين ما يُقال وما يُثبت,جدولا يفصل الادعاءات الشائعة عن ما تدعمه مصادر فعلا.,الموضوع | الادعاءات التي سمعتها | ما ستقرره بناء على النتيجة,جدول أحكام بمصادر، وقائمة بما لا دليل عليه في أي اتجاه.,البحث العميق,CHATGPT
4,رصد ما تغيّر منذ تاريخ معين,قائمة بما تغيّر فقط، وما بقي صحيحا مما تعرفه.,المجال | آخر تاريخ كنت متابعا فيه | ما تعرفه حاليا,خمسة أقسام تخبرك بالضبط ماذا تحدّث في معرفتك.,البحث العميق,CHATGPT
5,استخراج منهجية من عدة مصادر,منهجية موحدة مبنية على ما تتفق عليه المصادر، مع نقاط الخلاف.,المهمة أو العملية | عدد المصادر المطلوب | سياقك أنت,منهجية بخطوات موثقة، مع تمييز الإجماع عن الرأي.,البحث العميق,CHATGPT
6,دمج ملفات مختلفة الصيغ في جدول واحد,خطة توحيد ثم جدولا مدمجا، مع سجل بما تعذّر مطابقته.,الملفات | المفتاح الذي يربط بينها | الجدول النهائي المطلوب,خطة دمج للموافقة، ثم جدول مدمج مع سجل بالسجلات غير المطابقة.,الملفات والبيانات,CHATGPT
7,تحويل ملف فوضوي إلى بنية نظيفة,خطة تنظيف محددة، ثم ملفا منظما بعد موافقتك.,الملف | الشكل النهائي المطلوب | ما لا يجوز تغييره,خطة تنظيف للموافقة، ثم ملف نظيف مع سجل تغييرات.,الملفات والبيانات,CHATGPT
8,استخراج جدول من صورة أو مستند ممسوح,جدولا نصيا قابلا للنسخ، مع تحديد ما تعذّرت قراءته.,الصورة أو الملف | بنية الجدول المتوقعة | ما ستفعله بالبيانات,جدول نصي، وقائمة بالخلايا المشكوك فيها بمواضعها.,الملفات والبيانات,CHATGPT
9,مقارنة نسختين من مستند,قائمة تغييرات مصنفة بالأثر لا بالموضع.,النسخة القديمة | النسخة الجديدة | ما يهمك فيها,خمسة أقسام مرتبة بالأثر، مع النص قبل وبعد.,الملفات والبيانات,CHATGPT
10,بناء قاموس بيانات لملف,توثيقا لكل عمود: معناه، ونوعه، ومداه، وقيوده.,الملف | من سيستخدمه | أي أعمدة غامضة,جدول توثيق كامل، وقائمة أسئلة عن الأعمدة الغامضة.,الملفات والبيانات,CHATGPT
11,تأسيس مشروع بملف سياق,ملف تعليمات مشروع جاهزا للصق في إعدادات المشروع.,طبيعة المشروع | الجمهور | قواعدك الثابتة,ملف تعليمات قصير جاهز للصق في إعدادات المشروع.,المشاريع والسياق,CHATGPT
12,نقل سياق محادثة إلى مشروع,ملخصا منظما يصلح ليكون ملف سياق دائما لا رسالة.,المحادثة | ما تريد الاحتفاظ به | ما تريد نسيانه,ملف سياق قصير بحقائق، جاهز لإعدادات المشروع.,المشاريع والسياق,CHATGPT
13,مراجعة اتساق مخرجات مشروع,قائمة تناقضات في المصطلح والنبرة والادعاءات بين المخرجات.,المخرجات | قواعد المشروع | أين ستُنشر,قائمة تناقضات محددة الموضع مع صيغة موحدة مقترحة.,المشاريع والسياق,CHATGPT
14,استخراج قواعد أسلوبك من أعمالك,دليل أسلوب مكتوبا مستخرجا من أعمالك الفعلية.,ثلاثة إلى خمسة من أعمالك | ما تعتبره أفضلها | جمهورك,دليل أسلوب بقواعد مدعومة بأمثلة من كتابتك.,المشاريع والسياق,CHATGPT
15,تحديد ما يستحق الحفظ في الذاكرة,تصنيفا لما يستحق البقاء وما يجب حذفه ولماذا.,ما هو محفوظ حاليا | طبيعة عملك | ما تغيّر مؤخرا,قائمة قرارات لكل عنصر، وصياغات محسّنة لما يبقى.,المشاريع والسياق,CHATGPT
16,بناء مسودة كاملة قابلة للتحرير,مسودة كاملة بكل الأقسام، ولو كانت بعضها ناقصا عمدا.,نوع النص | الجمهور | الطول والبنية,مسودة كاملة داخل مساحة التحرير، وقائمة نواقص خارجها.,Canvas والتحرير,CHATGPT
17,تعديل جزئي محدد بلا مساس بالباقي,تعديلا محصورا في الجزء المطلوب، مع تقرير بما تغيّر.,الجزء المطلوب تعديله | التعديل المطلوب | ما يجب ألا يتغير,تعديل محصور، وتقرير قصير بما تغيّر.,Canvas والتحرير,CHATGPT
18,تمرير تحرير على مستوى واحد فقط,نسخة معدّلة على بعد واحد محدد، مع إمكانية التراجع عنه وحده.,النص | البعد المطلوب تحسينه | ما يجب الحفاظ عليه,نص معدّل على بعد واحد، وأمثلة قبل وبعد، واقتراح التمريرة التالية.,Canvas والتحرير,CHATGPT
19,توليد نسختين متنافستين للاختبار,نسختين مختلفتين جوهريا، مع فرضية قابلة للاختبار لكل واحدة.,النص أو الفكرة | الجمهور | المقياس الذي يهمك,نسختان متمايزتان بفرضية لكل واحدة، وطريقة مقارنة عادلة.,Canvas والتحرير,CHATGPT
20,مراجعة نهائية قبل النشر بقائمة تحقق,قائمة تحقق مطبّقة على نصك بنتيجة لكل بند لا نصائح عامة.,النص | مكان النشر | ما تخشاه,قائمة تحقق بنتيجة لكل بند، وحكم نهائي واحد.,Canvas والتحرير,CHATGPT
21,تكليف وكيل بمهمة بحدود واضحة,تكليفا فيه معيار توقف وحدود صريحة، لا طلبا مفتوحا.,المهمة | المخرج النهائي | ما لا يجوز فعله,مهمة منفذة مع سجل خطوات وقائمة افتراضات للمراجعة.,الوكيل والمهام المنجزة,CHATGPT
22,تحويل هدف غامض إلى تكليف قابل للتنفيذ,تكليفا محددا بمخرج ومعايير، قبل تشغيل أي وكيل.,الهدف الغامض | ما تعرفه | الوقت المتاح,تكليف مصاغ بمخرج ومعايير، جاهز للتنفيذ.,الوكيل والمهام المنجزة,CHATGPT
23,مراجعة عمل أنجزه وكيل,مراجعة تفصل ما تم التحقق منه عما افتُرض.,مخرج الوكيل | التكليف الأصلي | ما ستستخدمه فيه,مراجعة تفصل المتحقق عن المفترض، وقائمة بما تتحقق منه بنفسك.,الوكيل والمهام المنجزة,CHATGPT
24,تفكيك عمل كبير إلى مهام وكيل متتابعة,سلسلة مهام لكل واحدة مخرج يدخل في التي بعدها.,العمل الكامل | المخرج النهائي | الوقت المتاح,سلسلة مهام بمعايير قبول، مع تحديد المسار الحرج.,الوكيل والمهام المنجزة,CHATGPT
